cluster;total_img;predominant_category;success_percent;homogeneity_k;entropy_k;category_llava;count
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;1492;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;A;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;ABOUT THE GENERAL;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;AIR ACTIVITIES;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;ANIMALS;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;AREA OF MANAGEMENT;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;AVE MARIA;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;CULTURAL ECOSYSTEM SERVICES;5
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;Commerce Facilities;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;Cultural Ecosystem Services;8
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;GENERALLIFE;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;HERITAGE AND CULTURE;277
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;HIKING;2
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;HIKING TRAIL;5
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;HISTORIA DE LA ALHAMBRA;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;HISTORICAL SITE;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;HUMAN;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;Insect;71
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;LANDFORMS;1716
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;Lighthouse;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;NOT VALID;19
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;RIBS HOUSE;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;Religio;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;Restaurante Alfy;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;Restaurante Panero;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;Spanish yoga;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;TERRESTRIAL ACTIVITIES;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;Torture;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;Towns and villages;2
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;VEHICLE;2
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;Washington Irving;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;Water activities;1
-1;2130;LANDFORMS;80.56338028169014;0.8056338028169014;1.0771995018108629;Waterfall;1
0;36;LANDFORMS;38.88888888888889;0.3888888888888889;2.2209368695866423;A;1
0;36;LANDFORMS;38.88888888888889;0.3888888888888889;2.2209368695866423;A11;1
0;36;LANDFORMS;38.88888888888889;0.3888888888888889;2.2209368695866423;AEROPUERTO GRANADA 4;1
0;36;LANDFORMS;38.88888888888889;0.3888888888888889;2.2209368695866423;AIAS;1
0;36;LANDFORMS;38.88888888888889;0.3888888888888889;2.2209368695866423;ALSABUS;1
0;36;LANDFORMS;38.88888888888889;0.3888888888888889;2.2209368695866423;ALSAC;1
0;36;LANDFORMS;38.88888888888889;0.3888888888888889;2.2209368695866423;LANDFORMS;14
0;36;LANDFORMS;38.88888888888889;0.3888888888888889;2.2209368695866423;VEHICLE;3
