cluster;total_img;predominant_category;success_percent;homogeneity_k;entropy_k;category_llava;count
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;ACCOMMODATION;3
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;AIR ACTIVITIES;2
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;ANIMALS;74
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;BRIDGES;5
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;COMMERCE FACILITIES;25
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;CULTURAL ECOSYSTEM SERVICES AND CULTURAL NATURE CONTRIBUTIONS TO PEOPLE;1
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;HERITAGE AND CULTURE;113
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;LANDFORMS;30
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;NOT VALID;34
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;PLANTS;28
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;ROADS;1
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;SHELTER;3
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;TOWNS AND VILLAGES;29
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;TRACKS AND TRAILS;12
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;VEGETATION AND HABITATS;80
-1;453;HERITAGE AND CULTURE;24.944812362030905;0.24944812362030905;3.167864045531562;VEHICLE;13
0;50;ANIMALS;100.0;1.0;0.0;ANIMALS;50
1;24;HERITAGE AND CULTURE;83.33333333333334;0.8333333333333334;0.785235442391543;HERITAGE AND CULTURE;20
1;24;HERITAGE AND CULTURE;83.33333333333334;0.8333333333333334;0.785235442391543;LANDFORMS;3
1;24;HERITAGE AND CULTURE;83.33333333333334;0.8333333333333334;0.785235442391543;VEGETATION AND HABITATS;1
2;8;NOT VALID;87.5;0.875;0.5435644431995964;LANDFORMS;1
2;8;NOT VALID;87.5;0.875;0.5435644431995964;NOT VALID;7
3;15;VEHICLE;100.0;1.0;0.0;VEHICLE;15
4;20;VEHICLE;100.0;1.0;0.0;VEHICLE;20
5;7;NOT VALID;100.0;1.0;0.0;NOT VALID;7
6;8;ANIMALS;100.0;1.0;0.0;ANIMALS;8
7;8;ANIMALS;100.0;1.0;0.0;ANIMALS;8
8;9;ANIMALS;100.0;1.0;0.0;ANIMALS;9
9;31;AIR ACTIVITIES;67.74193548387096;0.6774193548387096;1.325056685069315;AIR ACTIVITIES;21
9;31;AIR ACTIVITIES;67.74193548387096;0.6774193548387096;1.325056685069315;ANIMALS;3
9;31;AIR ACTIVITIES;67.74193548387096;0.6774193548387096;1.325056685069315;NOT VALID;1
9;31;AIR ACTIVITIES;67.74193548387096;0.6774193548387096;1.325056685069315;VEHICLE;6
10;12;ANIMALS;100.0;1.0;0.0;ANIMALS;12
11;26;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;26
12;58;HERITAGE AND CULTURE;55.172413793103445;0.5517241379310345;1.8345629531225507;ACCOMMODATION;1
12;58;HERITAGE AND CULTURE;55.172413793103445;0.5517241379310345;1.8345629531225507;COMMERCE FACILITIES;9
12;58;HERITAGE AND CULTURE;55.172413793103445;0.5517241379310345;1.8345629531225507;HERITAGE AND CULTURE;32
12;58;HERITAGE AND CULTURE;55.172413793103445;0.5517241379310345;1.8345629531225507;LANDFORMS;1
12;58;HERITAGE AND CULTURE;55.172413793103445;0.5517241379310345;1.8345629531225507;NOT VALID;10
12;58;HERITAGE AND CULTURE;55.172413793103445;0.5517241379310345;1.8345629531225507;VEGETATION AND HABITATS;5
13;58;ANIMALS;100.0;1.0;0.0;ANIMALS;58
14;27;ANIMALS;100.0;1.0;0.0;ANIMALS;27
15;40;ANIMALS;100.0;1.0;0.0;ANIMALS;40
16;112;ANIMALS;98.21428571428571;0.9821428571428571;0.14709091770302762;ANIMALS;110
16;112;ANIMALS;98.21428571428571;0.9821428571428571;0.14709091770302762;NOT VALID;1
16;112;ANIMALS;98.21428571428571;0.9821428571428571;0.14709091770302762;VEGETATION AND HABITATS;1
17;22;VEHICLE;90.9090909090909;0.9090909090909091;0.5304060778306042;AIR ACTIVITIES;1
17;22;VEHICLE;90.9090909090909;0.9090909090909091;0.5304060778306042;NOT VALID;1
17;22;VEHICLE;90.9090909090909;0.9090909090909091;0.5304060778306042;VEHICLE;20
18;12;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;12
19;30;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;30
20;22;NOT VALID;54.54545454545454;0.5454545454545454;1.2072100267448116;HERITAGE AND CULTURE;9
20;22;NOT VALID;54.54545454545454;0.5454545454545454;1.2072100267448116;LANDFORMS;1
20;22;NOT VALID;54.54545454545454;0.5454545454545454;1.2072100267448116;NOT VALID;12
21;14;HERITAGE AND CULTURE;57.14285714285714;0.5714285714285714;1.2638091738835462;COMMERCE FACILITIES;1
21;14;HERITAGE AND CULTURE;57.14285714285714;0.5714285714285714;1.2638091738835462;HERITAGE AND CULTURE;8
21;14;HERITAGE AND CULTURE;57.14285714285714;0.5714285714285714;1.2638091738835462;NOT VALID;5
22;28;HERITAGE AND CULTURE;92.85714285714286;0.9285714285714286;0.442660898069447;HERITAGE AND CULTURE;26
22;28;HERITAGE AND CULTURE;92.85714285714286;0.9285714285714286;0.442660898069447;LANDFORMS;1
22;28;HERITAGE AND CULTURE;92.85714285714286;0.9285714285714286;0.442660898069447;VEGETATION AND HABITATS;1
23;12;ANIMALS;100.0;1.0;0.0;ANIMALS;12
24;19;ANIMALS;100.0;1.0;0.0;ANIMALS;19
25;9;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;9
26;9;ANIMALS;100.0;1.0;0.0;ANIMALS;9
27;72;ANIMALS;97.22222222222221;0.9722222222222222;0.1831220683013728;ANIMALS;70
27;72;ANIMALS;97.22222222222221;0.9722222222222222;0.1831220683013728;PLANTS;2
28;10;ANIMALS;100.0;1.0;0.0;ANIMALS;10
29;19;ANIMALS;94.73684210526315;0.9473684210526315;0.2974722489192897;ANIMALS;18
29;19;ANIMALS;94.73684210526315;0.9473684210526315;0.2974722489192897;PLANTS;1
30;18;PLANTS;88.88888888888889;0.8888888888888888;0.5032583347756457;ANIMALS;2
30;18;PLANTS;88.88888888888889;0.8888888888888888;0.5032583347756457;PLANTS;16
31;14;ANIMALS;85.71428571428571;0.8571428571428571;0.5916727785823274;ANIMALS;12
31;14;ANIMALS;85.71428571428571;0.8571428571428571;0.5916727785823274;PLANTS;2
32;8;VEHICLE;87.5;0.875;0.5435644431995964;AIR ACTIVITIES;1
32;8;VEHICLE;87.5;0.875;0.5435644431995964;VEHICLE;7
33;8;AIR ACTIVITIES;75.0;0.75;0.8112781244591328;AIR ACTIVITIES;6
33;8;AIR ACTIVITIES;75.0;0.75;0.8112781244591328;VEHICLE;2
34;16;HERITAGE AND CULTURE;75.0;0.75;1.186278124459133;HERITAGE AND CULTURE;12
34;16;HERITAGE AND CULTURE;75.0;0.75;1.186278124459133;LANDFORMS;2
34;16;HERITAGE AND CULTURE;75.0;0.75;1.186278124459133;NOT VALID;1
34;16;HERITAGE AND CULTURE;75.0;0.75;1.186278124459133;OTHER ABIOTIC FEATURES;1
35;12;HERITAGE AND CULTURE;91.66666666666666;0.9166666666666666;0.4138168503036338;HERITAGE AND CULTURE;11
35;12;HERITAGE AND CULTURE;91.66666666666666;0.9166666666666666;0.4138168503036338;SPIRITUAL OR SYMBOLIC AND RELATED CONNOTATIONS;1
36;15;HERITAGE AND CULTURE;46.666666666666664;0.4666666666666667;1.7464657985040721;COMMERCE FACILITIES;1
36;15;HERITAGE AND CULTURE;46.666666666666664;0.4666666666666667;1.7464657985040721;HERITAGE AND CULTURE;7
36;15;HERITAGE AND CULTURE;46.666666666666664;0.4666666666666667;1.7464657985040721;NOT VALID;4
