;scaler;dim_reduction;dimension;n_clusters;best_params;centers;best_value;best_original_value
10;standard;umap;13;4;{'n_clusters': 4, 'linkage': 'single', 'metric': 'euclidean'};"[[ 9.950592    2.195799    7.7084775   9.718076    6.435758    6.8410172
   9.157005    5.4260917   4.213655    5.4334793   3.5450273   1.3917695
   3.2126513 ]
 [10.958337    1.6059217   5.732932    8.650032    5.677002    5.9831505
   8.676355    4.4973617   2.295231    4.3255463   4.0812373   2.7266004
   1.3774351 ]
 [ 7.206984    0.7980786   8.8939495   8.970403    5.1848564   7.2013445
   9.754098    6.4746413   3.056665    4.857598    3.238123    2.5469491
   3.4793832 ]
 [ 8.979504   -0.22032775  4.482048    8.336116    3.856252    6.260082
   8.272379    5.59811     2.5932686   4.851923    4.985857    2.2999163
   0.40316308]]";0.512222170829773;0.5122222
11;standard;umap;14;8;{'n_clusters': 8, 'linkage': 'average', 'metric': 'euclidean'};"[[11.289809    1.2051975   7.0707717   7.432844    4.984729    4.51929
   9.191307    4.242623    6.686329    4.8566937   2.9208014   3.3140724
   3.0985606   6.257285  ]
 [11.278413   -0.5630914   7.7666144   9.743226    4.3933387   3.7350779
   6.5724106   5.665216    6.6669126   6.3580613   3.4695408   5.99115
   2.9959233   7.843905  ]
 [11.712592    1.1235361   7.0728407   8.935005    5.1468825   4.769848
   8.540892    4.51547     6.8127127   5.3499665   3.1742454   4.079423
   2.9578915   7.3411    ]
 [10.032411   -0.02684909  8.614123   10.399666    4.043468    3.944931
   7.0560083   4.7744346   7.5291824   5.5704885   3.9646914   6.045106
   2.320579    8.318159  ]
 [ 9.959502   -0.11059164  8.112181    8.616975    4.2768884   3.5556974
   7.640891    5.4650893   6.852598    5.3262777   3.5293398   4.8240194
   2.8916662   6.493657  ]
 [10.034441    0.319645    8.708761    9.020811    5.050626    2.960855
   6.7302523   6.752425    6.5472503   6.4722557   2.9642797   5.662042
   3.355469    7.8849597 ]
 [ 7.353934    0.15570404  9.860792    9.03883     4.0220895   3.2119248
   7.2611346   5.498758    7.717627    5.411797    3.6155407   5.082491
   2.4906905   6.3518205 ]
 [10.3994255   0.4519466   6.2094975   8.995331    4.7027245   3.8131595
   8.850864    4.4798717   6.123642    5.246231    3.0643978   1.8712308
   3.7488146   6.037249  ]]";0.4805469512939453;0.48054695
12;minmax;umap;3;8;{'n_clusters': 8, 'linkage': 'average', 'metric': 'euclidean'};"[[ 2.6705077   9.9879055  -1.4934782 ]
 [-2.7557256   9.63938    -0.35839   ]
 [-0.9659005  11.162085   -0.6082054 ]
 [-1.7642046  10.19188     1.4519199 ]
 [ 1.511847    9.515946    1.3013582 ]
 [ 3.456808    7.974015    0.08624998]
 [ 4.5713196   9.959865    3.3958018 ]
 [-1.1929691  12.656115    1.7065772 ]]";0.4878416061401367;0.4878416
13;minmax;umap;4;4;{'n_clusters': 4, 'linkage': 'complete', 'metric': 'manhattan'};"[[-0.12863725  9.883675    2.1188545   2.8898523 ]
 [-0.7999176  10.000241   -0.45186827  3.8742306 ]
 [-0.41439858 11.303002    0.95232064 -0.8255849 ]
 [ 2.5099738  11.610765    4.5716324   1.0797497 ]]";0.5002265572547913;0.50022656
14;minmax;umap;5;4;{'n_clusters': 4, 'linkage': 'ward', 'metric': 'euclidean'};"[[-1.2687479   7.0963373   3.3229904   2.7429667   2.3317595 ]
 [ 3.893603    9.389422    2.3611379   0.58049095  3.6704626 ]
 [ 0.86556536 10.298021   -0.15584768  2.7018676   3.0305762 ]
 [ 0.84856725  9.299031    2.5379298   1.2357047   2.580197  ]]";0.49009472131729126;0.49009472
15;minmax;umap;6;5;{'n_clusters': 5, 'linkage': 'ward', 'metric': 'manhattan'};"[[-1.0913906   7.014269    2.1250994   3.3164265   2.587183    5.612593  ]
 [ 0.9984744  11.150747    0.11403021  3.5036123   3.2177298   7.085572  ]
 [ 3.5345583   9.127443    3.3520863   3.5093186   4.9989805   8.563869  ]
 [ 0.83468866  8.851995    2.3374841   4.1800985   3.1999776   7.8997936 ]
 [ 2.440015    9.41546     0.17968763  3.0218244   4.3672204   6.926941  ]]";0.5113570094108582;0.511357
16;minmax;umap;7;5;{'n_clusters': 5, 'linkage': 'complete', 'metric': 'manhattan'};"[[-0.8077882   8.461922    2.7984428   3.7099597   2.345918    2.9604857
   2.6993582 ]
 [-0.43767333 11.45667     0.15089557  2.2124596   4.9017644   1.5796717
   4.5183973 ]
 [ 2.3865507  10.910143    2.9649405   0.74699324  5.625667    1.7241029
   1.76514   ]
 [ 0.10177049 10.327059    2.3747396   1.9122318   4.1406016   1.818388
   2.4902537 ]
 [ 0.60771734 10.942917    1.1771406   2.0456133   5.862569    3.0642958
   4.739968  ]]";0.4857843220233917;0.48578432
17;minmax;umap;8;5;{'n_clusters': 5, 'linkage': 'ward', 'metric': 'cosine'};"[[11.502091    1.9294395   8.126226    7.757135    3.3617172   6.2352343
   7.4129524   3.542611  ]
 [11.712317   -0.92054915  8.604271    8.156324    5.858127    8.518053
   5.298323    5.9694643 ]
 [ 8.383828   -0.83325094  6.004772    8.895943    5.1925344   8.893173
   8.094262    6.7045364 ]
 [11.192644    0.2557425   6.661515    8.848627    4.3913407   7.6945662
   6.95596     5.7760816 ]
 [ 9.866902   -0.3196763   8.430101    7.597697    5.8858843   7.632494
   6.140517    6.4886594 ]]";0.5164240002632141;0.516424
18;minmax;umap;9;5;{'n_clusters': 5, 'linkage': 'ward', 'metric': 'manhattan'};"[[10.981074    1.9512613   9.467075    9.388964    1.8660672   6.621262
   8.628411    4.3414454   5.1695004 ]
 [ 9.473885   -0.7032969  10.719296   11.892579    5.262566    5.812619
   9.590495    2.9079466   4.791793  ]
 [ 8.186456   -1.2450149   7.6923437   9.408125    5.773163    7.6692724
   7.233513    2.5778928   4.1554193 ]
 [10.090729   -0.04617277  9.08276     9.75353     3.9504375   6.866464
   8.067297    2.8677073   4.466794  ]
 [ 8.025146    0.43013874  9.729813   10.807743    5.469172    6.119563
   9.031946    3.3851333   4.9651012 ]]";0.5086618661880493;0.50866187
19;minmax;umap;10;4;{'n_clusters': 4, 'linkage': 'average', 'metric': 'manhattan'};"[[ 7.8612137  -0.32245886  7.427838    7.9904466   4.928757    8.0611
   7.5815334   5.009571    4.7017817   3.6015153 ]
 [10.437918    1.7603449   8.9357605   5.744118    3.4808383   6.404725
   8.004234    5.1412945   6.876151    2.488743  ]
 [ 9.001736   -0.34111908  9.625618    5.8661394   4.814343    9.354504
   8.541812    3.1814017   5.122444    2.826189  ]
 [ 8.4740505   2.9366164   7.7281823   4.789482    2.5474272   7.692404
   8.798216    4.653004    7.4245963   1.2364404 ]]";0.49415409564971924;0.4941541
