cluster;total_img;predominant_category;success_percent;homogeneity_k;entropy_k;category_llava;count
0;12;ANIMALS;100.0;1.0;0.0;ANIMALS;12
1;22;NOT VALID;77.27272727272727;0.7727272727272727;1.0848063548455136;HERITAGE AND CULTURE;3
1;22;NOT VALID;77.27272727272727;0.7727272727272727;1.0848063548455136;NOT VALID;17
1;22;NOT VALID;77.27272727272727;0.7727272727272727;1.0848063548455136;VEGETATION AND HABITATS;1
1;22;NOT VALID;77.27272727272727;0.7727272727272727;1.0848063548455136;VEHICLE;1
2;17;ANIMALS;100.0;1.0;0.0;ANIMALS;17
3;30;HERITAGE AND CULTURE;46.666666666666664;0.4666666666666667;1.941742150168196;ANIMALS;7
3;30;HERITAGE AND CULTURE;46.666666666666664;0.4666666666666667;1.941742150168196;HERITAGE AND CULTURE;14
3;30;HERITAGE AND CULTURE;46.666666666666664;0.4666666666666667;1.941742150168196;LANDFORMS;4
3;30;HERITAGE AND CULTURE;46.666666666666664;0.4666666666666667;1.941742150168196;NOT VALID;4
3;30;HERITAGE AND CULTURE;46.666666666666664;0.4666666666666667;1.941742150168196;VEGETATION AND HABITATS;1
4;49;HERITAGE AND CULTURE;46.93877551020408;0.46938775510204084;1.3681006608780124;ANIMALS;1
4;49;HERITAGE AND CULTURE;46.93877551020408;0.46938775510204084;1.3681006608780124;HERITAGE AND CULTURE;23
4;49;HERITAGE AND CULTURE;46.93877551020408;0.46938775510204084;1.3681006608780124;HUMAN INTERACTION;1
4;49;HERITAGE AND CULTURE;46.93877551020408;0.46938775510204084;1.3681006608780124;NOT VALID;23
4;49;HERITAGE AND CULTURE;46.93877551020408;0.46938775510204084;1.3681006608780124;WATER ACTIVITIES;1
5;27;HERITAGE AND CULTURE;81.48148148148148;0.8148148148148148;1.0472024795701151;COMMERCE FACILITIES;1
5;27;HERITAGE AND CULTURE;81.48148148148148;0.8148148148148148;1.0472024795701151;HERITAGE AND CULTURE;22
5;27;HERITAGE AND CULTURE;81.48148148148148;0.8148148148148148;1.0472024795701151;LANDFORMS;1
5;27;HERITAGE AND CULTURE;81.48148148148148;0.8148148148148148;1.0472024795701151;TRACKS AND TRAILS;1
5;27;HERITAGE AND CULTURE;81.48148148148148;0.8148148148148148;1.0472024795701151;VEGETATION AND HABITATS;2
6;35;ANIMALS;97.14285714285714;0.9714285714285714;0.18717625687320819;ANIMALS;34
6;35;ANIMALS;97.14285714285714;0.9714285714285714;0.18717625687320819;VEGETATION AND HABITATS;1
7;22;ANIMALS;100.0;1.0;0.0;ANIMALS;22
8;50;HERITAGE AND CULTURE;94.0;0.94;0.38254266919774566;HERITAGE AND CULTURE;47
8;50;HERITAGE AND CULTURE;94.0;0.94;0.38254266919774566;LANDFORMS;2
8;50;HERITAGE AND CULTURE;94.0;0.94;0.38254266919774566;PLANTS;1
9;89;ANIMALS;100.0;1.0;0.0;ANIMALS;89
10;19;VEGETATION AND HABITATS;57.89473684210527;0.5789473684210527;1.9293092079167293;DAM;1
10;19;VEGETATION AND HABITATS;57.89473684210527;0.5789473684210527;1.9293092079167293;LANDFORMS;2
10;19;VEGETATION AND HABITATS;57.89473684210527;0.5789473684210527;1.9293092079167293;NOT VALID;1
10;19;VEGETATION AND HABITATS;57.89473684210527;0.5789473684210527;1.9293092079167293;ROADS;2
10;19;VEGETATION AND HABITATS;57.89473684210527;0.5789473684210527;1.9293092079167293;VEGETATION AND HABITATS;11
10;19;VEGETATION AND HABITATS;57.89473684210527;0.5789473684210527;1.9293092079167293;VEHICLE;2
11;21;PLANTS;38.095238095238095;0.38095238095238093;1.575114591410657;ANIMALS;6
11;21;PLANTS;38.095238095238095;0.38095238095238093;1.575114591410657;PLANTS;8
11;21;PLANTS;38.095238095238095;0.38095238095238093;1.575114591410657;VEGETATION AND HABITATS;7
