;scaler;dimension;n_clusters;best_params;best_value
25;robust;4;2;{'min_cluster_size': 123, 'min_samples': 51, 'cluster_selection_epsilon': 0.24158856595961908, 'alpha': 1.7456206307834516, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.32375964397628154
26;robust;5;4;{'min_cluster_size': 73, 'min_samples': 60, 'cluster_selection_epsilon': 0.7968025491499693, 'alpha': 1.9553838146037503, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3801560144827307
27;robust;6;2;{'min_cluster_size': 86, 'min_samples': 26, 'cluster_selection_epsilon': 0.06080081077554014, 'alpha': 1.168518676730368, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.369801509103907
28;robust;7;2;{'min_cluster_size': 123, 'min_samples': 26, 'cluster_selection_epsilon': 0.01658831033954664, 'alpha': 1.3830067786756084, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3563565985542534
29;robust;8;2;{'min_cluster_size': 116, 'min_samples': 56, 'cluster_selection_epsilon': 0.03417552906498026, 'alpha': 0.9850493458525622, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3558818770226445
30;robust;9;2;{'min_cluster_size': 96, 'min_samples': 59, 'cluster_selection_epsilon': 0.025387298858697643, 'alpha': 1.1083069686446123, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3579784606193543
31;robust;10;2;{'min_cluster_size': 119, 'min_samples': 42, 'cluster_selection_epsilon': 0.012088802746816205, 'alpha': 1.1225473612237256, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.34449023801639617
32;robust;11;2;{'min_cluster_size': 96, 'min_samples': 37, 'cluster_selection_epsilon': 0.013363648873217782, 'alpha': 1.8841198534963812, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3490207214630522
33;robust;12;2;{'min_cluster_size': 124, 'min_samples': 60, 'cluster_selection_epsilon': 0.02287369665785649, 'alpha': 1.8689896451955554, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.36567283540648393
34;robust;13;2;{'min_cluster_size': 94, 'min_samples': 58, 'cluster_selection_epsilon': 0.039184065847052356, 'alpha': 1.0087264701263439, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3724785044490945
35;robust;14;2;{'min_cluster_size': 141, 'min_samples': 25, 'cluster_selection_epsilon': 0.21285113665309607, 'alpha': 1.8992328145202368, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.36314798060266407
36;maxabs;3;2;{'min_cluster_size': 129, 'min_samples': 27, 'cluster_selection_epsilon': 0.48607781398918604, 'alpha': 0.7754951081827313, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3653643418457678
37;maxabs;4;2;{'min_cluster_size': 149, 'min_samples': 74, 'cluster_selection_epsilon': 0.0123232984642744, 'alpha': 1.060608204074725, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.343374582077753
38;maxabs;5;2;{'min_cluster_size': 124, 'min_samples': 66, 'cluster_selection_epsilon': 0.09613179383083308, 'alpha': 1.5341181931413717, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.35798802109790756
39;maxabs;6;2;{'min_cluster_size': 127, 'min_samples': 26, 'cluster_selection_epsilon': 0.16298281863896735, 'alpha': 1.2682157397037404, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3689177361690828
40;maxabs;7;2;{'min_cluster_size': 133, 'min_samples': 74, 'cluster_selection_epsilon': 0.31773645219741303, 'alpha': 0.8580027801582635, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3718406277416042
41;maxabs;8;2;{'min_cluster_size': 146, 'min_samples': 32, 'cluster_selection_epsilon': 0.010800923387894922, 'alpha': 0.9595717524090799, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.35911424013291904
42;maxabs;9;2;{'min_cluster_size': 104, 'min_samples': 32, 'cluster_selection_epsilon': 0.011851096417720069, 'alpha': 1.9807872773155526, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3524033019682757
43;maxabs;10;2;{'min_cluster_size': 109, 'min_samples': 30, 'cluster_selection_epsilon': 0.058340071505577185, 'alpha': 1.4704636355172185, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.35689086362448164
44;maxabs;11;2;{'min_cluster_size': 145, 'min_samples': 41, 'cluster_selection_epsilon': 0.6898742661533099, 'alpha': 1.7923727869786643, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3702368498123992
45;maxabs;12;2;{'min_cluster_size': 95, 'min_samples': 44, 'cluster_selection_epsilon': 0.08533701372158305, 'alpha': 1.7904337290100358, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.35849464097737666
46;maxabs;13;2;{'min_cluster_size': 131, 'min_samples': 34, 'cluster_selection_epsilon': 0.14546591281075574, 'alpha': 0.5965728734604717, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.343046807173699
47;maxabs;14;2;{'min_cluster_size': 112, 'min_samples': 72, 'cluster_selection_epsilon': 0.030882643237811706, 'alpha': 1.0584004784185235, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3269542290545098
