cluster;total_img;predominant_category;success_percent;homogeneity_k;entropy_k;category_llava;count
0;39;HERITAGE AND CULTURE;92.3076923076923;0.9230769230769231;0.46188170471037027;HERITAGE AND CULTURE;36
0;39;HERITAGE AND CULTURE;92.3076923076923;0.9230769230769231;0.46188170471037027;NOT VALID;2
0;39;HERITAGE AND CULTURE;92.3076923076923;0.9230769230769231;0.46188170471037027;VEGETATION AND HABITATS;1
1;30;HERITAGE AND CULTURE;56.666666666666664;0.5666666666666667;1.3222033920663172;ACCOMMODATION;1
1;30;HERITAGE AND CULTURE;56.666666666666664;0.5666666666666667;1.3222033920663172;HERITAGE AND CULTURE;17
1;30;HERITAGE AND CULTURE;56.666666666666664;0.5666666666666667;1.3222033920663172;LANDFORMS;11
1;30;HERITAGE AND CULTURE;56.666666666666664;0.5666666666666667;1.3222033920663172;VEGETATION AND HABITATS;1
2;42;HERITAGE AND CULTURE;97.61904761904762;0.9761904761904762;0.1623261801753929;HERITAGE AND CULTURE;41
2;42;HERITAGE AND CULTURE;97.61904761904762;0.9761904761904762;0.1623261801753929;VEHICLE;1
3;23;PLANTS;43.47826086956522;0.43478260869565216;1.7420763712293132;ANIMALS;2
3;23;PLANTS;43.47826086956522;0.43478260869565216;1.7420763712293132;NOT VALID;3
3;23;PLANTS;43.47826086956522;0.43478260869565216;1.7420763712293132;PLANTS;10
3;23;PLANTS;43.47826086956522;0.43478260869565216;1.7420763712293132;VEGETATION AND HABITATS;8
4;32;PLANTS;90.625;0.90625;0.4488644887230295;PLANTS;29
4;32;PLANTS;90.625;0.90625;0.4488644887230295;VEGETATION AND HABITATS;3
5;78;ANIMALS;51.28205128205128;0.5128205128205128;1.5175889679689907;ANIMALS;40
5;78;ANIMALS;51.28205128205128;0.5128205128205128;1.5175889679689907;NOT VALID;28
5;78;ANIMALS;51.28205128205128;0.5128205128205128;1.5175889679689907;PLANTS;3
5;78;ANIMALS;51.28205128205128;0.5128205128205128;1.5175889679689907;VEGETATION AND HABITATS;7
6;54;PLANTS;40.74074074074074;0.4074074074074074;1.744775326093695;ANIMALS;8
6;54;PLANTS;40.74074074074074;0.4074074074074074;1.744775326093695;NOT VALID;4
6;54;PLANTS;40.74074074074074;0.4074074074074074;1.744775326093695;PLANTS;22
6;54;PLANTS;40.74074074074074;0.4074074074074074;1.744775326093695;VEGETATION AND HABITATS;20
7;24;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;24
8;28;NOT VALID;50.0;0.5;1.1856161633204378;ANIMALS;13
8;28;NOT VALID;50.0;0.5;1.1856161633204378;NOT VALID;14
8;28;NOT VALID;50.0;0.5;1.1856161633204378;PLANTS;1
9;53;HERITAGE AND CULTURE;98.11320754716981;0.9811320754716981;0.1350362028021276;ANIMALS;1
9;53;HERITAGE AND CULTURE;98.11320754716981;0.9811320754716981;0.1350362028021276;HERITAGE AND CULTURE;52
10;17;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;17
11;31;ANIMALS;74.19354838709677;0.7419354838709677;1.186557197758657;ANIMALS;23
11;31;ANIMALS;74.19354838709677;0.7419354838709677;1.186557197758657;HERITAGE AND CULTURE;1
11;31;ANIMALS;74.19354838709677;0.7419354838709677;1.186557197758657;NOT VALID;3
11;31;ANIMALS;74.19354838709677;0.7419354838709677;1.186557197758657;VEGETATION AND HABITATS;4
12;10;ANIMALS;60.0;0.6;0.9709505944546688;ANIMALS;6
12;10;ANIMALS;60.0;0.6;0.9709505944546688;NOT VALID;4
13;58;HERITAGE AND CULTURE;96.55172413793103;0.9655172413793104;0.21639693245126465;HERITAGE AND CULTURE;56
13;58;HERITAGE AND CULTURE;96.55172413793103;0.9655172413793104;0.21639693245126465;SPIRITUAL OR SYMBOLIC AND RELATED CONNOTATIONS;2
14;40;NOT VALID;57.49999999999999;0.575;1.3182370617587251;ANIMALS;13
14;40;NOT VALID;57.49999999999999;0.575;1.3182370617587251;NOT VALID;23
14;40;NOT VALID;57.49999999999999;0.575;1.3182370617587251;PLANTS;4
15;36;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;36
16;24;PLANTS;100.0;1.0;0.0;PLANTS;24
17;49;AIR ACTIVITIES;95.91836734693877;0.9591836734693877;0.28683890475094387;AIR ACTIVITIES;47
17;49;AIR ACTIVITIES;95.91836734693877;0.9591836734693877;0.28683890475094387;HERITAGE AND CULTURE;1
17;49;AIR ACTIVITIES;95.91836734693877;0.9591836734693877;0.28683890475094387;NOT VALID;1
18;40;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;40
19;17;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;17
20;12;NOT VALID;41.66666666666667;0.4166666666666667;1.7841591278514217;ANIMALS;2
20;12;NOT VALID;41.66666666666667;0.4166666666666667;1.7841591278514217;NOT VALID;5
20;12;NOT VALID;41.66666666666667;0.4166666666666667;1.7841591278514217;PLANTS;1
20;12;NOT VALID;41.66666666666667;0.4166666666666667;1.7841591278514217;VEGETATION AND HABITATS;4
21;40;HERITAGE AND CULTURE;45.0;0.45;1.9322287189138012;BRIDGES;1
21;40;HERITAGE AND CULTURE;45.0;0.45;1.9322287189138012;HERITAGE AND CULTURE;18
21;40;HERITAGE AND CULTURE;45.0;0.45;1.9322287189138012;LANDFORMS;12
21;40;HERITAGE AND CULTURE;45.0;0.45;1.9322287189138012;VEGETATION AND HABITATS;6
21;40;HERITAGE AND CULTURE;45.0;0.45;1.9322287189138012;WATER ACTIVITIES;2
21;40;HERITAGE AND CULTURE;45.0;0.45;1.9322287189138012;WIND FARM;1
22;50;PLANTS;66.0;0.66;1.2639695707385292;NOT VALID;9
22;50;PLANTS;66.0;0.66;1.2639695707385292;PLANTS;33
22;50;PLANTS;66.0;0.66;1.2639695707385292;VEGETATION AND HABITATS;8
23;57;ANIMALS;59.64912280701754;0.5964912280701754;1.5467198927144594;ANIMALS;34
23;57;ANIMALS;59.64912280701754;0.5964912280701754;1.5467198927144594;NOT VALID;11
23;57;ANIMALS;59.64912280701754;0.5964912280701754;1.5467198927144594;PLANTS;3
23;57;ANIMALS;59.64912280701754;0.5964912280701754;1.5467198927144594;VEGETATION AND HABITATS;9
24;25;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;25
25;49;ANIMALS;79.59183673469387;0.7959183673469388;1.106840986201103;ANIMALS;39
25;49;ANIMALS;79.59183673469387;0.7959183673469388;1.106840986201103;LANDFORMS;1
25;49;ANIMALS;79.59183673469387;0.7959183673469388;1.106840986201103;NOT VALID;2
25;49;ANIMALS;79.59183673469387;0.7959183673469388;1.106840986201103;PLANTS;3
25;49;ANIMALS;79.59183673469387;0.7959183673469388;1.106840986201103;VEGETATION AND HABITATS;4
26;38;ANIMALS;47.368421052631575;0.47368421052631576;1.5358577759182797;ANIMALS;18
26;38;ANIMALS;47.368421052631575;0.47368421052631576;1.5358577759182797;HERITAGE AND CULTURE;1
26;38;ANIMALS;47.368421052631575;0.47368421052631576;1.5358577759182797;NOT VALID;16
26;38;ANIMALS;47.368421052631575;0.47368421052631576;1.5358577759182797;PLANTS;2
26;38;ANIMALS;47.368421052631575;0.47368421052631576;1.5358577759182797;VEGETATION AND HABITATS;1
27;59;NOT VALID;83.05084745762711;0.8305084745762712;0.812799280520397;ANIMALS;1
27;59;NOT VALID;83.05084745762711;0.8305084745762712;0.812799280520397;NOT VALID;49
27;59;NOT VALID;83.05084745762711;0.8305084745762712;0.812799280520397;PLANTS;8
27;59;NOT VALID;83.05084745762711;0.8305084745762712;0.812799280520397;VEGETATION AND HABITATS;1
28;15;HERITAGE AND CULTURE;93.33333333333333;0.9333333333333333;0.3533593350214213;HERITAGE AND CULTURE;14
28;15;HERITAGE AND CULTURE;93.33333333333333;0.9333333333333333;0.3533593350214213;NOT VALID;1
29;19;PLANTS;100.0;1.0;0.0;PLANTS;19
30;58;ANIMALS;87.93103448275862;0.8793103448275862;0.531340014180167;ANIMALS;51
30;58;ANIMALS;87.93103448275862;0.8793103448275862;0.531340014180167;NOT VALID;7
31;12;PLANTS;50.0;0.5;1.325011210824177;NOT VALID;1
31;12;PLANTS;50.0;0.5;1.325011210824177;PLANTS;6
31;12;PLANTS;50.0;0.5;1.325011210824177;VEGETATION AND HABITATS;5
32;36;HERITAGE AND CULTURE;97.22222222222221;0.9722222222222222;0.1831220683013728;HERITAGE AND CULTURE;35
32;36;HERITAGE AND CULTURE;97.22222222222221;0.9722222222222222;0.1831220683013728;NOT VALID;1
33;32;VEHICLE;100.0;1.0;0.0;VEHICLE;32
34;7;HERITAGE AND CULTURE;71.42857142857143;0.7142857142857143;0.8631205685666311;HERITAGE AND CULTURE;5
34;7;HERITAGE AND CULTURE;71.42857142857143;0.7142857142857143;0.8631205685666311;NOT VALID;2
35;17;PLANTS;100.0;1.0;0.0;PLANTS;17
36;26;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;26
37;55;HERITAGE AND CULTURE;89.0909090909091;0.8909090909090909;0.49716776141607527;HERITAGE AND CULTURE;49
37;55;HERITAGE AND CULTURE;89.0909090909091;0.8909090909090909;0.49716776141607527;NOT VALID;6
38;5;ANIMALS;100.0;1.0;0.0;ANIMALS;5
39;24;HERITAGE AND CULTURE;70.83333333333334;0.7083333333333334;1.3563429881688325;HERITAGE AND CULTURE;17
39;24;HERITAGE AND CULTURE;70.83333333333334;0.7083333333333334;1.3563429881688325;LANDFORMS;1
39;24;HERITAGE AND CULTURE;70.83333333333334;0.7083333333333334;1.3563429881688325;NOT VALID;4
39;24;HERITAGE AND CULTURE;70.83333333333334;0.7083333333333334;1.3563429881688325;VEGETATION AND HABITATS;1
39;24;HERITAGE AND CULTURE;70.83333333333334;0.7083333333333334;1.3563429881688325;WIND FARM;1
40;20;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;20
41;45;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;45
42;39;ANIMALS;48.717948717948715;0.48717948717948717;1.736277731302207;ANIMALS;19
42;39;ANIMALS;48.717948717948715;0.48717948717948717;1.736277731302207;HERITAGE AND CULTURE;1
42;39;ANIMALS;48.717948717948715;0.48717948717948717;1.736277731302207;NOT VALID;11
42;39;ANIMALS;48.717948717948715;0.48717948717948717;1.736277731302207;PLANTS;7
42;39;ANIMALS;48.717948717948715;0.48717948717948717;1.736277731302207;VEGETATION AND HABITATS;1
43;70;ANIMALS;42.857142857142854;0.42857142857142855;1.7931832869718167;ANIMALS;30
43;70;ANIMALS;42.857142857142854;0.42857142857142855;1.7931832869718167;NOT VALID;16
43;70;ANIMALS;42.857142857142854;0.42857142857142855;1.7931832869718167;PLANTS;5
43;70;ANIMALS;42.857142857142854;0.42857142857142855;1.7931832869718167;VEGETATION AND HABITATS;19
44;10;ANIMALS;50.0;0.5;1.4854752972273346;ANIMALS;5
44;10;ANIMALS;50.0;0.5;1.4854752972273346;NOT VALID;2
44;10;ANIMALS;50.0;0.5;1.4854752972273346;VEGETATION AND HABITATS;3
45;22;AIR ACTIVITIES;95.45454545454545;0.9545454545454546;0.26676498780302604;AIR ACTIVITIES;21
45;22;AIR ACTIVITIES;95.45454545454545;0.9545454545454546;0.26676498780302604;HERITAGE AND CULTURE;1
46;21;HERITAGE AND CULTURE;95.23809523809523;0.9523809523809523;0.2761954276479391;HERITAGE AND CULTURE;20
46;21;HERITAGE AND CULTURE;95.23809523809523;0.9523809523809523;0.2761954276479391;NOT VALID;1
47;41;ANIMALS;51.21951219512195;0.5121951219512195;1.6516032695505847;ANIMALS;21
47;41;ANIMALS;51.21951219512195;0.5121951219512195;1.6516032695505847;NOT VALID;11
47;41;ANIMALS;51.21951219512195;0.5121951219512195;1.6516032695505847;PLANTS;2
47;41;ANIMALS;51.21951219512195;0.5121951219512195;1.6516032695505847;VEGETATION AND HABITATS;7
48;43;HERITAGE AND CULTURE;37.2093023255814;0.37209302325581395;1.5745691978932221;HERITAGE AND CULTURE;16
48;43;HERITAGE AND CULTURE;37.2093023255814;0.37209302325581395;1.5745691978932221;LANDFORMS;12
48;43;HERITAGE AND CULTURE;37.2093023255814;0.37209302325581395;1.5745691978932221;VEGETATION AND HABITATS;15
49;30;NOT VALID;66.66666666666666;0.6666666666666666;1.3719505165357169;ANIMALS;5
49;30;NOT VALID;66.66666666666666;0.6666666666666666;1.3719505165357169;NOT VALID;20
49;30;NOT VALID;66.66666666666666;0.6666666666666666;1.3719505165357169;PLANTS;1
49;30;NOT VALID;66.66666666666666;0.6666666666666666;1.3719505165357169;VEGETATION AND HABITATS;4
50;17;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;17
51;32;ANIMALS;68.75;0.6875;1.184140762186858;ANIMALS;22
51;32;ANIMALS;68.75;0.6875;1.184140762186858;HERITAGE AND CULTURE;1
51;32;ANIMALS;68.75;0.6875;1.184140762186858;NOT VALID;8
51;32;ANIMALS;68.75;0.6875;1.184140762186858;VEGETATION AND HABITATS;1
52;34;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;34
53;38;VEGETATION AND HABITATS;57.89473684210527;0.5789473684210527;1.2634416050534014;HERITAGE AND CULTURE;14
53;38;VEGETATION AND HABITATS;57.89473684210527;0.5789473684210527;1.2634416050534014;PLANTS;1
53;38;VEGETATION AND HABITATS;57.89473684210527;0.5789473684210527;1.2634416050534014;TRACKS AND TRAILS;1
53;38;VEGETATION AND HABITATS;57.89473684210527;0.5789473684210527;1.2634416050534014;VEGETATION AND HABITATS;22
54;63;HERITAGE AND CULTURE;98.4126984126984;0.9841269841269841;0.11759466565886476;HERITAGE AND CULTURE;62
54;63;HERITAGE AND CULTURE;98.4126984126984;0.9841269841269841;0.11759466565886476;TOWNS AND VILLAGES;1
55;24;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;24
56;25;PLANTS;100.0;1.0;0.0;PLANTS;25
57;46;PLANTS;97.82608695652173;0.9782608695652174;0.15109697051711368;ANIMALS;1
57;46;PLANTS;97.82608695652173;0.9782608695652174;0.15109697051711368;PLANTS;45
58;35;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;35
59;32;HERITAGE AND CULTURE;96.875;0.96875;0.20062232431271465;HERITAGE AND CULTURE;31
59;32;HERITAGE AND CULTURE;96.875;0.96875;0.20062232431271465;PLANTS;1
60;12;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;12
61;28;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;28
62;31;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;31
63;41;HERITAGE AND CULTURE;92.6829268292683;0.926829268292683;0.4936191872801264;COMMERCE FACILITIES;1
63;41;HERITAGE AND CULTURE;92.6829268292683;0.926829268292683;0.4936191872801264;HERITAGE AND CULTURE;38
63;41;HERITAGE AND CULTURE;92.6829268292683;0.926829268292683;0.4936191872801264;NOT VALID;1
63;41;HERITAGE AND CULTURE;92.6829268292683;0.926829268292683;0.4936191872801264;VEHICLE;1
64;20;HERITAGE AND CULTURE;90.0;0.9;0.5689955935892812;HERITAGE AND CULTURE;18
64;20;HERITAGE AND CULTURE;90.0;0.9;0.5689955935892812;NOT VALID;1
64;20;HERITAGE AND CULTURE;90.0;0.9;0.5689955935892812;VEGETATION AND HABITATS;1
65;10;ANIMALS;70.0;0.7;1.1567796494470395;ANIMALS;7
65;10;ANIMALS;70.0;0.7;1.1567796494470395;NOT VALID;2
65;10;ANIMALS;70.0;0.7;1.1567796494470395;VEGETATION AND HABITATS;1
66;29;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;29
67;10;HERITAGE AND CULTURE;90.0;0.9;0.46899559358928117;HERITAGE AND CULTURE;9
67;10;HERITAGE AND CULTURE;90.0;0.9;0.46899559358928117;NOT VALID;1
68;59;ANIMALS;91.52542372881356;0.9152542372881356;0.5476612677207006;ANIMALS;54
68;59;ANIMALS;91.52542372881356;0.9152542372881356;0.5476612677207006;HERITAGE AND CULTURE;1
68;59;ANIMALS;91.52542372881356;0.9152542372881356;0.5476612677207006;NOT VALID;2
68;59;ANIMALS;91.52542372881356;0.9152542372881356;0.5476612677207006;VEGETATION AND HABITATS;2
69;8;ANIMALS;100.0;1.0;0.0;ANIMALS;8
70;35;VEGETATION AND HABITATS;51.42857142857142;0.5142857142857142;1.8379225737055596;HERITAGE AND CULTURE;5
70;35;VEGETATION AND HABITATS;51.42857142857142;0.5142857142857142;1.8379225737055596;PLANTS;1
70;35;VEGETATION AND HABITATS;51.42857142857142;0.5142857142857142;1.8379225737055596;ROADS;9
70;35;VEGETATION AND HABITATS;51.42857142857142;0.5142857142857142;1.8379225737055596;TRACKS AND TRAILS;1
70;35;VEGETATION AND HABITATS;51.42857142857142;0.5142857142857142;1.8379225737055596;VEGETATION AND HABITATS;18
