;scaler;dim_reduction;dimension;n_clusters;best_params;centers;best_value;best_original_value
10;minmax;umap;15;2;{'min_cluster_size': 91, 'min_samples': 60, 'cluster_selection_epsilon': 0.13387140701649916, 'alpha': 1.8111606465721581, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-1.8798008  9.655242  10.312375   7.6023617  6.346512   4.89388
   8.85156    4.0666666  2.9665363  8.301242   3.1755538  5.042345
   4.6453485  5.3213925  3.2083578]
 [14.046177   8.388569   8.189645   8.219592  10.397931   3.514685
   8.072868   4.6435814  2.9653225  7.9515805  2.6268635  4.465345
   5.751554   5.322553   3.7911844]]";0.7496997117996216;0.7496997
11;minmax;umap;16;2;{'min_cluster_size': 142, 'min_samples': 59, 'cluster_selection_epsilon': 0.011816153357255336, 'alpha': 1.3364286958425269, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[-2.3177783  9.445871   9.83743    7.624547   6.283632   4.0626454
   8.589544   6.0074925  2.5584967  8.262001   2.989965   5.4549994
   5.3218074  5.1869493  6.370845   4.396436 ]
 [11.28797    8.765926   9.62808    6.7928734  6.3261943  5.4345837
   8.016468   5.363853   2.9735239  8.269181   2.9713838  5.2306247
   4.166118   4.6279     5.928224   4.183993 ]]";0.7493909001350403;0.7493909
12;minmax;umap;17;2;{'min_cluster_size': 107, 'min_samples': 42, 'cluster_selection_epsilon': 0.7473478824337866, 'alpha': 1.869746362922108, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-0.3969381  0.4988246 10.009018   7.941714   6.1603737  3.7296638
   9.83789    5.749462   3.3304486  8.081338   2.138728   6.5701303
   5.066647   4.54708    5.478982   4.9792104  4.6747923]
 [13.9609995  8.605713   7.963535   7.7946362 10.80893    3.3727603
   8.115667   6.1737394  3.393615   7.473032   2.9687834  4.572854
   4.969655   4.538174   5.930941   4.2003136  4.9674573]]";0.7526274919509888;0.7526275
13;minmax;umap;18;2;{'min_cluster_size': 135, 'min_samples': 58, 'cluster_selection_epsilon': 0.14433535854723112, 'alpha': 0.7610251231487408, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-1.6787608 10.035649   9.703681   6.634012   6.1518674  4.2713766
   9.492081   4.322107   2.904607   7.7963343  3.1975882  4.6142874
   4.5909123  4.962812   6.2395053  4.8328547  5.1873145  4.0789766]
 [14.143256   8.205209   8.039223   7.181394  10.422974   3.7770417
   8.603062   4.270872   3.7489438  7.730494   3.8452373  5.7903934
   5.3504357  4.948493   4.940341   3.8611782  4.9686136  5.9964824]]";0.7551983594894409;0.75519836
14;minmax;umap;19;2;{'min_cluster_size': 147, 'min_samples': 29, 'cluster_selection_epsilon': 0.12891645802695528, 'alpha': 1.943252453806578, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-2.6346314 10.308636   9.433724   7.5672507  5.833733   4.078792
   9.674173   5.9185696  2.8525746  8.031703   2.914716   5.1495204
   5.3720226  5.0529685  6.644499   4.1529183  5.0071497  6.360702
   4.525545 ]
 [13.523472   8.562922   8.62984    7.6878915  9.739234   3.3953831
   8.235236   5.317061   3.9283261  8.370697   2.9041867  4.606088
   5.2946153  4.6360564  5.6143217  4.236811   5.317945   3.5792327
   5.117748 ]]";0.7545902729034424;0.7545903
15;minmax;umap;20;2;{'min_cluster_size': 115, 'min_samples': 52, 'cluster_selection_epsilon': 0.05732454251248511, 'alpha': 0.719564476672911, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[-1.9634047  9.515615   9.275107   7.641878   6.076093   4.010063
   9.167911   5.936061   2.7648292  7.9113255  2.967263   5.578843
   5.6296496  5.268556   6.724436   4.790461   4.7611084  4.123889
   4.7818     6.12345  ]
 [14.618245   8.683419   9.106278   7.8115582  9.764573   3.2066839
   8.468742   5.550435   3.680262   8.871735   2.9532614  4.579226
   5.1487675  4.1097493  5.626189   4.2377477  5.188488   5.9010425
   4.7489367  4.69249  ]]";0.7561008930206299;0.7561009
16;minmax;umap;21;2;{'min_cluster_size': 143, 'min_samples': 27, 'cluster_selection_epsilon': 0.313262965532622, 'alpha': 0.9532628208635969, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-1.6369998 10.257018   9.48891    6.0067444  6.365637   4.558269
   9.945851   3.9339073  2.8746336  8.07742    3.186746   5.1781197
   4.4646854  4.4526606  3.6290674  4.2413993  5.071569   3.7099974
   4.673806   5.766685   1.2885777]
 [14.434848   8.227436   8.611074   7.8907075  9.91235    3.5088344
   8.335521   4.299795   3.777074   8.320198   2.4896502  4.358545
   4.65136    4.889184   4.2901874  4.343069   5.026851   5.551374
   4.6505175  5.2481604  2.118713 ]]";0.7608107924461365;0.7608108
17;minmax;umap;22;2;{'min_cluster_size': 113, 'min_samples': 57, 'cluster_selection_epsilon': 0.5036311375377421, 'alpha': 1.538465526189361, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[-2.1724482  9.642452   9.340227   7.8762403  5.6160984  4.220472
   8.980602   3.8439398  2.967645   8.095196   3.4985003  5.576707
   4.350582   5.516806   2.9892848  4.5630293  5.0260277  4.4144235
   4.298803   5.80464    1.368017   5.1042514]
 [13.966399   7.9725184  9.041703   7.6035414  9.761779   3.515045
   8.413463   4.2288213  4.4275255  8.5808325  2.6350825  4.45424
   4.4331493  4.700756   3.833989   3.7328115  5.589728   6.806164
   5.1513305  4.600409   2.909991   5.4123654]]";0.7538950443267822;0.75389504
18;minmax;umap;23;2;{'min_cluster_size': 113, 'min_samples': 50, 'cluster_selection_epsilon': 0.9525671594964281, 'alpha': 0.5259353317575906, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[-0.75613344  0.5766345  10.196154    6.947251    4.888309    3.8207204
   8.850168    3.7318237   3.2263322   7.5651364   3.5561085   4.666886
   4.894879    5.7648597   5.9829574   4.3613787   4.9908733   3.938942
   3.9578698   4.6050777   8.386334    4.609432    3.7164102 ]
 [13.509533    8.1691265   8.776896    8.189367   10.111997    3.5024045
   8.317996    4.7101016   3.744741    8.222461    3.303356    5.878265
   4.503347    4.696936    6.234448    3.9192297   5.16903     6.070597
   5.398188    4.953701    8.110257    4.735428    3.3833683 ]]";0.7546562552452087;0.75465626
19;minmax;umap;24;2;{'min_cluster_size': 148, 'min_samples': 65, 'cluster_selection_epsilon': 0.3785167868935771, 'alpha': 1.5849377565977758, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[10.472717    8.6905365   8.283413    6.179154    4.3682284  -0.19765818
   8.4071455   4.2154455   2.5662892   7.1547327   2.5535464   4.650467
   4.5881786   4.2844334   4.14373     4.038227    5.589249    4.33547
   5.191825    5.479703    2.2000055   4.67903     6.8918767   5.9788146 ]
 [-2.1496446   9.604439    9.37162     8.049759    6.028375    3.8248193
   8.918623    4.068396    2.8960912   8.457166    3.2704473   5.4295664
   4.581401    5.009008    3.5386212   4.920035    5.1812415   3.556958
   4.494023    6.3311977   1.6519805   4.3633094   6.25115     6.477871  ]]";0.7547754645347595;0.75477546
