;scaler;dimension;n_clusters;best_params;best_value;best_original_value
24;robust;3;2;{'min_cluster_size': 149, 'min_samples': 74, 'cluster_selection_epsilon': 0.04468294975061377, 'alpha': 1.6299476307138676, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.45277034044265746;0.65277034
25;robust;4;3;{'min_cluster_size': 120, 'min_samples': 75, 'cluster_selection_epsilon': 0.17083862740657912, 'alpha': 0.9039390914232197, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3509628295898437;0.6509628
26;robust;5;3;{'min_cluster_size': 102, 'min_samples': 75, 'cluster_selection_epsilon': 0.015498131432039155, 'alpha': 1.6781544560037578, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.37915201187133785;0.679152
27;robust;6;2;{'min_cluster_size': 150, 'min_samples': 63, 'cluster_selection_epsilon': 0.8975350462697109, 'alpha': 1.4815753629385053, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.4349947452545166;0.63499475
28;robust;7;2;{'min_cluster_size': 150, 'min_samples': 75, 'cluster_selection_epsilon': 0.31552021508789585, 'alpha': 0.5950194192384475, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.4373705267906189;0.6373705
29;robust;8;3;{'min_cluster_size': 126, 'min_samples': 75, 'cluster_selection_epsilon': 0.01607579785629742, 'alpha': 0.5164998068823892, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3466003060340881;0.6466003
30;robust;9;3;{'min_cluster_size': 115, 'min_samples': 75, 'cluster_selection_epsilon': 0.0967548534340749, 'alpha': 1.3241530855483634, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.34351499080657955;0.643515
31;robust;10;3;{'min_cluster_size': 64, 'min_samples': 56, 'cluster_selection_epsilon': 0.01551482759078815, 'alpha': 0.8602508081829442, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.3254698038101196;0.6254698
32;robust;11;3;{'min_cluster_size': 57, 'min_samples': 75, 'cluster_selection_epsilon': 0.15467716791490205, 'alpha': 1.3028317770155633, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.38619698286056514;0.686197
33;robust;12;3;{'min_cluster_size': 61, 'min_samples': 75, 'cluster_selection_epsilon': 0.01337464181110767, 'alpha': 1.3687605774887988, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3532403230667114;0.6532403
