;scaler;dimension;n_clusters;best_params;best_value;best_original_value
24;robust;3;3;{'min_cluster_size': 114, 'min_samples': 75, 'cluster_selection_epsilon': 0.9320153948990613, 'alpha': 0.5166144443633425, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6531656384468079;0.65316564
25;robust;4;3;{'min_cluster_size': 99, 'min_samples': 69, 'cluster_selection_epsilon': 0.07537955384764117, 'alpha': 1.3212241685062889, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6764292120933533;0.6764292
26;robust;5;3;{'min_cluster_size': 76, 'min_samples': 67, 'cluster_selection_epsilon': 0.2022277404043838, 'alpha': 0.952366003210076, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.679501473903656;0.6795015
27;robust;6;3;{'min_cluster_size': 72, 'min_samples': 70, 'cluster_selection_epsilon': 0.15472114732037137, 'alpha': 1.2921295634773675, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6493377089500427;0.6493377
28;robust;7;3;{'min_cluster_size': 52, 'min_samples': 75, 'cluster_selection_epsilon': 0.9832791530951082, 'alpha': 0.6463877077016483, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6634477972984314;0.6634478
29;robust;8;3;{'min_cluster_size': 59, 'min_samples': 72, 'cluster_selection_epsilon': 0.06144312188452205, 'alpha': 1.9382192062512384, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6400062441825867;0.64000624
30;robust;9;3;{'min_cluster_size': 121, 'min_samples': 73, 'cluster_selection_epsilon': 0.17471757888728887, 'alpha': 0.7955832389842661, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.6431064009666443;0.6431064
31;robust;10;3;{'min_cluster_size': 129, 'min_samples': 68, 'cluster_selection_epsilon': 0.012799233133666968, 'alpha': 0.6463427591048123, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6722697019577026;0.6722697
32;robust;11;3;{'min_cluster_size': 105, 'min_samples': 73, 'cluster_selection_epsilon': 0.0861300657748213, 'alpha': 0.7225004511970301, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.6682930588722229;0.66829306
33;robust;12;3;{'min_cluster_size': 147, 'min_samples': 73, 'cluster_selection_epsilon': 0.06465570764114395, 'alpha': 1.6046848221737804, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.6482810378074646;0.64828104
34;robust;13;3;{'min_cluster_size': 128, 'min_samples': 72, 'cluster_selection_epsilon': 0.6749017888436637, 'alpha': 0.6208457577689683, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6825276613235474;0.68252766
35;robust;14;3;{'min_cluster_size': 136, 'min_samples': 60, 'cluster_selection_epsilon': 0.011986348140682494, 'alpha': 0.6974486931546962, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.620875895023346;0.6208759
36;maxabs;3;3;{'min_cluster_size': 100, 'min_samples': 70, 'cluster_selection_epsilon': 0.021972453851433628, 'alpha': 1.4886714034482402, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6686431765556335;0.6686432
37;maxabs;4;3;{'min_cluster_size': 144, 'min_samples': 72, 'cluster_selection_epsilon': 0.050859493810962456, 'alpha': 1.3620577268489553, 'metric': 'euclidean', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6757055521011353;0.67570555
38;maxabs;5;3;{'min_cluster_size': 58, 'min_samples': 69, 'cluster_selection_epsilon': 0.06541418059785976, 'alpha': 1.6810980595264438, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.666282594203949;0.6662826
39;maxabs;6;3;{'min_cluster_size': 50, 'min_samples': 75, 'cluster_selection_epsilon': 0.17624665817530055, 'alpha': 1.2452067396444564, 'metric': 'euclidean', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6704601645469666;0.67046016
40;maxabs;7;3;{'min_cluster_size': 109, 'min_samples': 74, 'cluster_selection_epsilon': 0.1815028198557423, 'alpha': 1.7646585106662656, 'metric': 'euclidean', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6609640121459961;0.660964
41;maxabs;8;3;{'min_cluster_size': 102, 'min_samples': 75, 'cluster_selection_epsilon': 0.055803966252102793, 'alpha': 0.6969114341149131, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6525697112083435;0.6525697
42;maxabs;9;3;{'min_cluster_size': 128, 'min_samples': 73, 'cluster_selection_epsilon': 0.16783191822950114, 'alpha': 1.3188192837739372, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6528887152671814;0.6528887
43;maxabs;10;3;{'min_cluster_size': 59, 'min_samples': 75, 'cluster_selection_epsilon': 0.09394391902026974, 'alpha': 1.3371160915470095, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6414383053779602;0.6414383
44;maxabs;11;3;{'min_cluster_size': 113, 'min_samples': 70, 'cluster_selection_epsilon': 0.18551591211757884, 'alpha': 0.8231256179289529, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6767674088478088;0.6767674
45;maxabs;12;3;{'min_cluster_size': 60, 'min_samples': 75, 'cluster_selection_epsilon': 0.08800160599191001, 'alpha': 1.9270364243152565, 'metric': 'euclidean', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6418745517730713;0.64187455
46;maxabs;13;3;{'min_cluster_size': 92, 'min_samples': 74, 'cluster_selection_epsilon': 0.2052272736795159, 'alpha': 1.619274275998746, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6471710205078125;0.647171
47;maxabs;14;3;{'min_cluster_size': 129, 'min_samples': 74, 'cluster_selection_epsilon': 0.2247727344945355, 'alpha': 1.6321497278003503, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6858471035957336;0.6858471
