;scaler;dimension;n_clusters;best_params;best_value;best_original_value
0;standard;3;2;{'min_cluster_size': 128, 'min_samples': 26, 'cluster_selection_epsilon': 0.03943235995478296, 'alpha': 1.1617237712563533, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.7706210613250732;0.77062106
1;standard;4;2;{'min_cluster_size': 115, 'min_samples': 45, 'cluster_selection_epsilon': 0.011310584418842941, 'alpha': 1.1361911084049165, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.7640337944030762;0.7640338
2;standard;5;2;{'min_cluster_size': 100, 'min_samples': 66, 'cluster_selection_epsilon': 0.08947135433916228, 'alpha': 1.3512273300186526, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.7555965185165405;0.7555965
3;standard;6;2;{'min_cluster_size': 128, 'min_samples': 27, 'cluster_selection_epsilon': 0.016170601038930515, 'alpha': 1.7873418050984873, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.7598579525947571;0.75985795
4;standard;7;2;{'min_cluster_size': 119, 'min_samples': 53, 'cluster_selection_epsilon': 0.8443145005449548, 'alpha': 0.8199899198909038, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.7572689652442932;0.75726897
5;standard;8;2;{'min_cluster_size': 131, 'min_samples': 40, 'cluster_selection_epsilon': 0.2241182053345599, 'alpha': 1.4773864976512934, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.7556325793266296;0.7556326
6;standard;9;2;{'min_cluster_size': 120, 'min_samples': 38, 'cluster_selection_epsilon': 0.017259067473649692, 'alpha': 1.236339555522045, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.757941722869873;0.7579417
7;standard;10;2;{'min_cluster_size': 96, 'min_samples': 33, 'cluster_selection_epsilon': 0.8357426094779528, 'alpha': 1.0276995121173491, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.7597826719284058;0.7597827
8;standard;11;2;{'min_cluster_size': 113, 'min_samples': 54, 'cluster_selection_epsilon': 0.2552861273725615, 'alpha': 1.6055812001862273, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.7537941336631775;0.75379413
9;standard;12;2;{'min_cluster_size': 148, 'min_samples': 26, 'cluster_selection_epsilon': 0.27915691904521167, 'alpha': 0.9933855508422467, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.75944584608078;0.75944585
10;standard;13;2;{'min_cluster_size': 105, 'min_samples': 65, 'cluster_selection_epsilon': 0.013063817564799837, 'alpha': 1.303292086227491, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.7516965270042419;0.7516965
11;standard;14;2;{'min_cluster_size': 142, 'min_samples': 59, 'cluster_selection_epsilon': 0.09255818359364772, 'alpha': 1.1299390469391655, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.7536007761955261;0.7536008
12;minmax;3;2;{'min_cluster_size': 133, 'min_samples': 31, 'cluster_selection_epsilon': 0.7532495118097514, 'alpha': 0.7636743912979184, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.7846042513847351;0.78460425
13;minmax;4;2;{'min_cluster_size': 100, 'min_samples': 36, 'cluster_selection_epsilon': 0.021494441180509017, 'alpha': 1.6031776637601738, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.7618892788887024;0.7618893
14;minmax;5;2;{'min_cluster_size': 123, 'min_samples': 48, 'cluster_selection_epsilon': 0.1974679028598221, 'alpha': 1.2201588228649625, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.7680307626724243;0.76803076
15;minmax;6;2;{'min_cluster_size': 116, 'min_samples': 53, 'cluster_selection_epsilon': 0.08073695458978933, 'alpha': 1.0601136145842829, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.7560239434242249;0.75602394
16;minmax;7;2;{'min_cluster_size': 104, 'min_samples': 36, 'cluster_selection_epsilon': 0.766279671905241, 'alpha': 1.3028710442856961, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.7612837553024292;0.76128376
17;minmax;8;2;{'min_cluster_size': 107, 'min_samples': 27, 'cluster_selection_epsilon': 0.010185500205357946, 'alpha': 1.5467349803314172, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.7615083456039429;0.76150835
18;minmax;9;2;{'min_cluster_size': 128, 'min_samples': 68, 'cluster_selection_epsilon': 0.02029191730730769, 'alpha': 1.07716381051643, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.7511046528816223;0.75110465
