;scaler;dim_reduction;dimension;n_clusters;best_params;centers;best_value;best_original_value
0;standard;umap;3;3;{'min_cluster_size': 58, 'min_samples': 73, 'cluster_selection_epsilon': 0.4234609278817554, 'alpha': 0.6497764248776021, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[17.004522    7.3475366   6.6648374 ]
 [ 0.3591025   0.6078053   5.943158  ]
 [ 0.19324358 12.298982    6.585072  ]]";0.6268658876419068;0.7268659
1;standard;umap;4;4;{'min_cluster_size': 59, 'min_samples': 74, 'cluster_selection_epsilon': 0.575471814705444, 'alpha': 0.9777798904926422, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[12.691594   9.853872   9.501954   8.557315 ]
 [ 0.7514017  1.4511689  7.3386054  8.829819 ]
 [-3.4171994  9.041224  10.311885  13.486514 ]
 [-1.8390077 10.261036   7.290096   8.407877 ]]";0.6163138747215271;0.6163139
2;standard;umap;5;4;{'min_cluster_size': 67, 'min_samples': 75, 'cluster_selection_epsilon': 0.01711625630130107, 'alpha': 0.7095558726445171, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[13.984664   10.825178    9.646879   -0.3253989  -1.5802683 ]
 [ 0.6561924   0.23644553  6.2423778   1.1716416   2.3873982 ]
 [-2.3752513  11.159574   11.616753    3.2752576   1.9651395 ]
 [-3.2638853   9.501395    7.4777403   0.88770306  2.5262618 ]]";0.6180596351623535;0.61805964
3;standard;umap;6;4;{'min_cluster_size': 64, 'min_samples': 69, 'cluster_selection_epsilon': 0.17361975198658575, 'alpha': 1.1226928975253252, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[13.753248   9.096099   8.274411   2.5954685 -2.081282   4.09219  ]
 [ 0.4424934  1.4325995  6.8089213  0.6824301  3.7203784  7.480912 ]
 [-2.8245008 11.675688  10.706086   1.0308583  3.3910546  6.248478 ]
 [-3.228061   8.781945   7.303351   0.564927   1.4206285  4.9745026]]";0.6275408864021301;0.6275409
4;minmax;umap;3;4;{'min_cluster_size': 75, 'min_samples': 62, 'cluster_selection_epsilon': 0.11762185494929614, 'alpha': 1.6831297915710899, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[17.080618    8.853307   11.537307  ]
 [-1.6901047  -0.04564875  9.384801  ]
 [-4.2389235  10.973412    4.173114  ]
 [ 1.3152643  12.866291   10.823079  ]]";0.6265045404434204;0.62650454
5;minmax;umap;4;5;{'min_cluster_size': 79, 'min_samples': 54, 'cluster_selection_epsilon': 0.8066397831592435, 'alpha': 0.8138303888930629, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[15.908091  10.508602   7.5172048  9.355305 ]
 [-1.3685625  0.1969578  8.120964   6.837763 ]
 [-3.003844  12.043163   8.734766  10.36142  ]
 [-0.6222792 12.263938   8.893343   4.5436063]
 [-2.6247885 13.783892   9.559572   7.0664887]]";0.6437630653381348;0.64376307
6;minmax;umap;5;4;{'min_cluster_size': 74, 'min_samples': 73, 'cluster_selection_epsilon': 0.1575775982286597, 'alpha': 1.595556885772466, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[10.122144    9.916405    2.9439154   6.668785    4.203832  ]
 [-0.19996612 -0.39584962 10.008465    7.808163    5.1020417 ]
 [-3.016136   11.506141    9.085066   11.69835     4.719632  ]
 [-0.7850415  11.99792     8.844275    5.630597    6.2963376 ]]";0.6225505471229553;0.62255055
7;minmax;umap;6;4;{'min_cluster_size': 78, 'min_samples': 34, 'cluster_selection_epsilon': 0.5806329895129154, 'alpha': 0.6258865803388427, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};"[[10.44586    7.067495   8.296988   8.263787   7.320133   5.9845023]
 [-0.782294   1.3711634  9.088939   5.9592013  6.559884   5.716097 ]
 [-1.9355447 12.680519   8.107296  11.039716   5.8776903  6.0667725]
 [-2.4790266  9.379486   8.527051   7.5988708  5.629008   4.32231  ]]";0.6309720873832703;0.6309721
8;robust;umap;3;4;{'min_cluster_size': 55, 'min_samples': 68, 'cluster_selection_epsilon': 0.14023313424753164, 'alpha': 0.7212580856810243, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[ 9.545272    8.340848    1.2028148 ]
 [-1.8377291   0.19014692 12.484092  ]
 [-4.7678337  12.47202     7.1209507 ]
 [-2.6658494   8.73532     9.305252  ]]";0.6188998222351074;0.6188998
9;robust;umap;4;4;{'min_cluster_size': 51, 'min_samples': 74, 'cluster_selection_epsilon': 0.020975974258186782, 'alpha': 0.6655573665875218, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[16.825567   10.691589    9.218337    5.701531  ]
 [ 0.76605695  0.04345089  9.251245    6.412007  ]
 [-2.9384625  10.553708    8.96163    11.144593  ]
 [-2.523115    9.873788   10.213713    5.3662524 ]]";0.6299324035644531;0.6299324
10;robust;umap;5;4;{'min_cluster_size': 63, 'min_samples': 51, 'cluster_selection_epsilon': 0.08794787903818871, 'alpha': 0.8252543409178634, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[10.400676   9.454615   2.142121   6.477367   5.215916 ]
 [-0.8916892  1.2893612 10.274355   7.6139603  6.732572 ]
 [-2.6672993 11.615403  10.139938  10.910798   4.469451 ]
 [-2.7624037 10.391754   9.735369   5.462482   6.1071196]]";0.6381287574768066;0.63812876
11;robust;umap;6;3;{'min_cluster_size': 71, 'min_samples': 75, 'cluster_selection_epsilon': 0.015454509368326869, 'alpha': 1.6538692204469934, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[13.196797    8.14035     6.933801    7.7421675   9.946852    4.989837  ]
 [-1.4762661   0.09929901 10.151745    6.3853216   4.7677107   6.086498  ]
 [-2.3449628   8.881118    9.220997    7.1102166   6.186466    5.437133  ]]";0.642663323879242;0.7426633
12;maxabs;umap;3;4;{'min_cluster_size': 51, 'min_samples': 67, 'cluster_selection_epsilon': 0.05421641499440657, 'alpha': 0.675055574581976, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[12.107396  13.735104   7.3492227]
 [ 2.7340093 -0.7658218  6.2565966]
 [-2.2650268 12.104774  11.958039 ]
 [-2.065953  11.77801    3.280742 ]]";0.6182165145874023;0.6182165
13;maxabs;umap;4;4;{'min_cluster_size': 75, 'min_samples': 72, 'cluster_selection_epsilon': 0.040864627013904316, 'alpha': 1.4689809271720828, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[15.858422  10.475485   7.1100974 10.559149 ]
 [ 4.2708836  1.3846942  6.029574   8.806978 ]
 [-3.16666   12.049284  10.676159   9.005395 ]
 [-1.4685116 11.698619   2.905729   9.78915  ]]";0.6051647663116455;0.60516477
14;maxabs;umap;5;4;{'min_cluster_size': 69, 'min_samples': 63, 'cluster_selection_epsilon': 0.6158124885447354, 'alpha': 0.9897458946576997, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[13.848268  11.075469   9.446703   7.9956985 10.551081 ]
 [ 3.0486028  1.2009021  6.9865427  7.547717   5.242287 ]
 [-3.9771688 10.383482  11.538031   8.396907   4.932914 ]
 [-2.9099536  9.986783   7.824395   8.917625   5.1697507]]";0.6114921569824219;0.61149216
15;maxabs;umap;6;4;{'min_cluster_size': 67, 'min_samples': 74, 'cluster_selection_epsilon': 0.024720954412056753, 'alpha': 1.2325780729943954, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[ 3.2604527 -1.4715005  5.845086   9.310494   6.868396   5.5645885]
 [13.919941   9.393348   7.8786883  7.266769  10.678207   4.8066916]
 [-4.2877855 12.060229  11.173349   8.746841   6.8907323  3.9934015]
 [-1.5670327 11.646462   5.291408   8.79706    7.910932   3.5277429]]";0.6242916584014893;0.62429166
