cluster;total_img;predominant_category;success_percent;homogeneity_k;entropy_k;category_llava;count
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;ACCOMMODATION;1
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;AIR ACTIVITIES;4
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;ANIMALS;244
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;BRIDGES;2
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;COMMERCE FACILITIES;1
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;HERITAGE AND CULTURE;1098
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;LANDFORMS;19
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;NOT VALID;170
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;PLANTS;192
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;ROADS;5
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;SPIRITUAL OR SYMBOLIC AND RELATED CONNOTATIONS;2
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;TOWNS AND VILLAGES;9
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;TRACKS AND TRAILS;1
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;VEGETATION AND HABITATS;132
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;VEHICLE;7
-1;1888;HERITAGE AND CULTURE;58.15677966101694;0.5815677966101694;1.9716803828748244;WINTER ACTIVITIES;1
0;34;VEHICLE;100.0;1.0;0.0;VEHICLE;34
1;12;NOT VALID;41.66666666666667;0.4166666666666667;1.7841591278514217;ANIMALS;2
1;12;NOT VALID;41.66666666666667;0.4166666666666667;1.7841591278514217;NOT VALID;5
1;12;NOT VALID;41.66666666666667;0.4166666666666667;1.7841591278514217;PLANTS;1
1;12;NOT VALID;41.66666666666667;0.4166666666666667;1.7841591278514217;VEGETATION AND HABITATS;4
2;37;AIR ACTIVITIES;97.2972972972973;0.972972972972973;0.17925606692832147;AIR ACTIVITIES;36
2;37;AIR ACTIVITIES;97.2972972972973;0.972972972972973;0.17925606692832147;HERITAGE AND CULTURE;1
3;92;ANIMALS;46.73913043478261;0.4673913043478261;1.4381489919038832;ANIMALS;43
