cluster;total_img;predominant_category;success_percent;homogeneity_k;entropy_k;category_llava;count
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;ACCOMMODATION;2
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;ACCOMODATION;4
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;AIR ACTIVITIES;1
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;ANIMALS;222
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;BRIDGES;2
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;COMMERCE FACILITIES;2
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;HERITAGE AND CULTURE;1231
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;LANDFORMS;27
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;NOT VALID;151
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;PLANTS;162
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;ROADS;11
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;SPIRITUAL OR SYMBOLIC AND RELATED CONNOTATIONS;2
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;TOWNS AND VILLAGES;13
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;TRACKS AND TRAILS;1
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;VEGETATION AND HABITATS;141
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;VEHICLE;4
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;WATER ACTIVITIES;1
-1;1978;HERITAGE AND CULTURE;62.23458038422649;0.6223458038422649;1.903009001939609;WIND FARM;1
0;38;VEHICLE;100.0;1.0;0.0;VEHICLE;38
1;18;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;18
2;88;ANIMALS;48.86363636363637;0.48863636363636365;1.4469524259268802;ANIMALS;43
2;88;ANIMALS;48.86363636363637;0.48863636363636365;1.4469524259268802;NOT VALID;36
2;88;ANIMALS;48.86363636363637;0.48863636363636365;1.4469524259268802;PLANTS;2
2;88;ANIMALS;48.86363636363637;0.48863636363636365;1.4469524259268802;VEGETATION AND HABITATS;7
3;13;NOT VALID;38.46153846153847;0.38461538461538464;1.760495029766198;ANIMALS;2
3;13;NOT VALID;38.46153846153847;0.38461538461538464;1.760495029766198;NOT VALID;5
3;13;NOT VALID;38.46153846153847;0.38461538461538464;1.760495029766198;PLANTS;1
3;13;NOT VALID;38.46153846153847;0.38461538461538464;1.760495029766198;VEGETATION AND HABITATS;5
4;36;AIR ACTIVITIES;86.11111111111111;0.8611111111111112;0.7717313035490735;AIR ACTIVITIES;31
4;36;AIR ACTIVITIES;86.11111111111111;0.8611111111111112;0.7717313035490735;ANIMALS;3
4;36;AIR ACTIVITIES;86.11111111111111;0.8611111111111112;0.7717313035490735;NOT VALID;1
4;36;AIR ACTIVITIES;86.11111111111111;0.8611111111111112;0.7717313035490735;VEHICLE;1
5;38;AIR ACTIVITIES;97.36842105263158;0.9736842105263158;0.17556502585750278;AIR ACTIVITIES;37
5;38;AIR ACTIVITIES;97.36842105263158;0.9736842105263158;0.17556502585750278;HERITAGE AND CULTURE;1
6;16;HERITAGE AND CULTURE;81.25;0.8125;0.6962122601251458;HERITAGE AND CULTURE;13
6;16;HERITAGE AND CULTURE;81.25;0.8125;0.6962122601251458;NOT VALID;3
7;63;PLANTS;98.4126984126984;0.9841269841269841;0.11759466565886476;ANIMALS;1
7;63;PLANTS;98.4126984126984;0.9841269841269841;0.11759466565886476;PLANTS;62
8;11;VEGETATION AND HABITATS;54.54545454545454;0.5454545454545454;1.3221793455166666;ANIMALS;4
8;11;VEGETATION AND HABITATS;54.54545454545454;0.5454545454545454;1.3221793455166666;LANDFORMS;1
8;11;VEGETATION AND HABITATS;54.54545454545454;0.5454545454545454;1.3221793455166666;VEGETATION AND HABITATS;6
9;18;PLANTS;88.88888888888889;0.8888888888888888;0.5032583347756457;PLANTS;16
9;18;PLANTS;88.88888888888889;0.8888888888888888;0.5032583347756457;VEGETATION AND HABITATS;2
10;36;PLANTS;100.0;1.0;0.0;PLANTS;36
11;19;NOT VALID;52.63157894736842;0.5263157894736842;0.9980008838722995;HERITAGE AND CULTURE;9
11;19;NOT VALID;52.63157894736842;0.5263157894736842;0.9980008838722995;NOT VALID;10
12;40;HERITAGE AND CULTURE;95.0;0.95;0.33639695711595624;HERITAGE AND CULTURE;38
12;40;HERITAGE AND CULTURE;95.0;0.95;0.33639695711595624;NOT VALID;1
12;40;HERITAGE AND CULTURE;95.0;0.95;0.33639695711595624;WATER ACTIVITIES;1
13;33;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;33
14;32;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;32
15;6;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;6
16;29;NOT VALID;68.96551724137932;0.6896551724137931;1.3130468615293815;ANIMALS;5
16;29;NOT VALID;68.96551724137932;0.6896551724137931;1.3130468615293815;NOT VALID;20
16;29;NOT VALID;68.96551724137932;0.6896551724137931;1.3130468615293815;PLANTS;1
16;29;NOT VALID;68.96551724137932;0.6896551724137931;1.3130468615293815;VEGETATION AND HABITATS;3
17;27;NOT VALID;100.0;1.0;0.0;NOT VALID;27
18;38;PLANTS;94.73684210526315;0.9473684210526315;0.2974722489192897;PLANTS;36
18;38;PLANTS;94.73684210526315;0.9473684210526315;0.2974722489192897;VEGETATION AND HABITATS;2
19;21;PLANTS;85.71428571428571;0.8571428571428571;0.7228578977329687;NOT VALID;1
19;21;PLANTS;85.71428571428571;0.8571428571428571;0.7228578977329687;PLANTS;18
19;21;PLANTS;85.71428571428571;0.8571428571428571;0.7228578977329687;VEGETATION AND HABITATS;2
20;45;HERITAGE AND CULTURE;88.88888888888889;0.8888888888888888;0.5032583347756457;HERITAGE AND CULTURE;40
20;45;HERITAGE AND CULTURE;88.88888888888889;0.8888888888888888;0.5032583347756457;NOT VALID;5
21;12;PLANTS;100.0;1.0;0.0;PLANTS;12
22;15;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;15
23;21;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;21
24;26;VEGETATION AND HABITATS;46.15384615384615;0.46153846153846156;1.5852967004606702;ANIMALS;3
24;26;VEGETATION AND HABITATS;46.15384615384615;0.46153846153846156;1.5852967004606702;NOT VALID;1
24;26;VEGETATION AND HABITATS;46.15384615384615;0.46153846153846156;1.5852967004606702;PLANTS;10
24;26;VEGETATION AND HABITATS;46.15384615384615;0.46153846153846156;1.5852967004606702;VEGETATION AND HABITATS;12
25;3;HERITAGE AND CULTURE;66.66666666666666;0.6666666666666666;0.9182958340544894;HERITAGE AND CULTURE;2
25;3;HERITAGE AND CULTURE;66.66666666666666;0.6666666666666666;0.9182958340544894;VEHICLE;1
